mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
76.66990542411804,3.1601016751207474,0.1875187555948893,0.01531167189656046,0.05,3,1,5,100,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7768868423368925,0.7843600326478865,0.7909111585257578,0.7840526778368456,0.005729526529375086,17
118.28652572631836,0.558332443950275,0.2876451015472412,0.06037026938754876,0.05,3,1,5,150,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.7761538080026598,0.7860546642509255,0.7913177569269989,0.7845087430601948,0.006286426700490215,10
75.3138952255249,3.4665029575157043,0.19033527374267578,0.041288556087912494,0.05,3,2,2,100,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7769055589519703,0.7858020294648294,0.7904890987450433,0.7843988957206144,0.005633514388941422,14
113.04864486058553,2.6709419087797763,0.25592811902364093,0.030395241010060716,0.05,3,2,2,150,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.7765547136134053,0.7858953190221568,0.7917875100005201,0.7847458475453607,0.0062716550154803445,6
78.55368916193645,1.2992113105797805,0.16760873794555664,0.009595627544454942,0.05,3,2,5,100,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7769055589519703,0.7856530969379367,0.7904890987450433,0.7843492515449834,0.0056215743900348185,15
122.38544138272603,2.9309222590969792,0.2592126528422038,0.018233437805827785,0.05,3,2,5,150,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.7765547136134053,0.7859841218718998,0.7932308668362175,0.7852565674405075,0.006827421336817962,5
55.52577177683512,4.413175636648574,0.14188774426778158,0.02387383181158238,0.1,2,1,2,100,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7783547404650943,0.7873929563524009,0.788383030332285,0.78471024238326,0.004512158766065093,8
91.67395106951396,4.742509045642683,0.23961949348449707,0.01355940480115029,0.1,2,1,2,150,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.7819134937043702,0.7895294763078899,0.7906318613461611,0.7873582771194737,0.003876257905178733,3
57.70473313331604,3.687305404533143,0.12693913777669272,0.00769890531842475,0.1,2,1,5,100,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7783547404650943,0.7869764062422385,0.788383030332285,0.7845713923465393,0.0044331868367258765,9
87.71213754018147,6.137492538177585,0.18252221743265787,0.0036631139911135315,0.1,2,1,5,150,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.7819134937043702,0.7892689602207181,0.7928375062880709,0.7880066534043865,0.004548155421423123,1
